title,heading,content,tokens
Netherlands at the 2016 Summer Olympics,Summary,"The Netherlands competed at the 2016 Summer Olympics in Rio de Janeiro, from 5 to 21 August 2016. Since the nation's official debut in 1900, Dutch athletes had competed at every edition of the Summer Olympic Games in the modern era, with the exception of the sparsely attended 1904 Summer Olympics in St. Louis and 1956 Summer Olympics in Melbourne (except the equestrian events in Stockholm), which the Netherlands boycotted because of the Soviet invasion of Hungary.",95
Suriname at the 2016 Summer Olympics,Summary,"Suriname competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, from 5 to 21 August 2016. This was the nation's thirteenth appearance at the Summer Olympics.
The Suriname Olympic Committee sent a team of six athletes, four men and two women, to compete in four different sports at the Games, matching the nation's roster size with Seoul 1988 and Barcelona 1992. All of them were awarded universality places to compete in their respective sporting events, except for sprinter Jurgen Themen, the lone returning Olympian from London 2012, who qualified directly for the Games on merit. Apart from Thumen, notable athletes on the nation's roster featured swimming stalwart Renzo Tjon A Joe (men's 50 m freestyle) and badminton player Soren Opti, who was selected to carry the Surinamese flag in the opening ceremony.
Suriname, however, failed to win a single Olympic medal since the 1988 Summer Olympics in Seoul, where Anthony Nesty became the nation's first ever champion in the men's 100 m butterfly.",225
Judo at the 2016 Summer Olympics – Men's 66 kg,Summary,"The men's 66 kg competition in judo at the 2016 Summer Olympics in Rio de Janeiro was held on 7 August at the Carioca Arena 2.
The gold and silver medals were determined by a single-elimination tournament, with the winner of the final taking gold and the loser receiving silver.  Judo events awarded two bronze medals.  Quarterfinal losers competed in a repechage match for the right to face a semifinal loser for a bronze medal (that is, the judokas defeated in quarterfinals A and B competed against each other, with the winner of that match facing the semifinal loser from the other half of the bracket).
The medals for the competition were presented by Beatrice Allen, a Gambian member of the International Olympic Committee, and the gifts were presented by Yasuhiro Yamashita, International Judo Federation executive committee member.",182
Judo at the 2016 Summer Olympics – Women's 48 kg,Summary,"The women's 48 kg competition in judo at the 2016 Summer Olympics in Rio de Janeiro was held on 6 August at the Carioca Arena 2.
The gold and silver medals were determined by a single-elimination tournament, with the winner of the final taking gold and the loser receiving silver.  Judo events awarded two bronze medals.  Quarterfinal losers competed in a repechage match for the right to face a semifinal loser for a bronze medal (that is, the judokas defeated in quarterfinals A and B competed against each other, with the winner of that match facing the semifinal loser from the other half of the bracket).
The medals for the competition were presented by Yumilka Ruiz, Cuba, member of the International Olympic Committee and the gifts were presented by Marius Vizer, president of the International Judo Federation.",181
Judo at the 2016 Summer Olympics – Women's 52 kg,Summary,"The women's 52 kg competition in judo at the 2016 Summer Olympics in Rio de Janeiro was held on 7 August at the Carioca Arena 2.
The gold and silver medals were determined by a single-elimination tournament, with the winner of the final taking gold and the loser receiving silver.  Judo events awarded two bronze medals.  Quarterfinal losers competed in a repechage match for the right to face a semifinal loser for a bronze medal (that is, the judokas defeated in quarterfinals A and B competed against each other, with the winner of that match facing the semifinal loser from the other half of the bracket).
The medals for the competition were presented by Thomas Bach, Germany, president of the International Olympic Committee and the gifts were presented by Marius Vizer, president of the International Judo Federation.
A controversy emerged that Joud Fahmy from Saudi Arabia gave up of her first round fight to avoid facing Israeli Gili Cohen. The Saudi Olympic team dismissed the controversy and tweeted that Fahmy had sustained injuries to her arm and leg during training and was advised by medical staff not to compete.",236
Swimming at the 2016 Summer Olympics – Men's 50 metre freestyle,Summary,"Sixteen years after he tied for the gold with Gary Hall, Jr., U.S. swimmer Anthony Ervin, aged 35, reclaimed his title in the program's shortest race to become the oldest male champion in Olympic swimming history. He threw down a gold-medal time of 21.40 to touch out the defending titleholder Florent Manaudou of France by a hundredth of a second. Manaudou was quick off the blocks, but could not catch Ervin near the wall to finish with a silver in 21.41. Meanwhile, Ervin's teammate Nathan Adrian swam to another bronze-medal feat at the Games with a 21.49.
Separated the top three by almost two tenths of a second, Great Britain's Benjamin Proud finished off the podium with a fourth-place time in 21.68, while Ukraine's Andriy Govorov, who led a vast field of swimmers earlier in the heats, slipped shortly to fifth in 21.74. Brazil's hometown favorite Bruno Fratus, fourth-place finalist from London 2012, and South Africa's Brad Tandy shared the sixth spot in a matching 21.79, with Lithuanian swimmer Simonas Bilis (22.08) closing out the field.
Other notable swimmers featured Australia's Cameron McEvoy, Russia's Vladimir Morozov, Manaudou's brother-in-law and countryman Frédérick Bousquet, and Trinidad and Tobago's George Bovell, who scored a twenty-seventh place finish in his fifth Olympic appearance.",329
Swimming at the 2016 Summer Olympics – Qualification,Qualifying standards,"A National Olympic Committee (NOC) may enter a maximum of 2 qualified athletes in each individual event, only if both athletes have attained the Olympic Qualifying Time (OQT). One athlete per event can potentially enter if they meet the Olympic Selection Time (OST) or if the quota of 900 athletes has not been targeted. NOCs may also permit swimmers regardless of time (1 per gender) under a Universality place, as long as they have no swimmers reaching either the standard entry time.
In the relay events, a maximum of 16 qualifying teams in each relay event must be permitted to accumulate a total of 96 relay teams; each NOC may enter only one team. The first twelve teams in each relay event at the 2015 World Championships will automatically compete for the relay events at the Olympics; while the remaining four per relay event must obtain their fastest entry times based on the FINA World Rankings of 31 May 2016 during the process.
Following the end of the qualification period, FINA will assess the number of athletes having achieved the OQT, the number of relay-only swimmers, and the number of Universality places, before inviting athletes with OST to fulfill the total quota of 900. Additionally, OST places will be distributed by event according to the position of the FINA World Rankings during the qualifying deadline (3 July 2016).
The qualifying time standards must be obtained in World Championships, Continental Championships, Continental Qualification Events, National Championships and Trials, or International Competitions approved by FINA in the period between 1 March 2015 to 3 July 2016.
FINA qualifying standards are as follows:",333
Volleyball at the 2016 Summer Olympics – Men's qualification,Summary,"The qualification for the 2016 Men's Olympic Volleyball Tournament was held from 8 September 2015 to 5 June 2016. Twelve teams qualified, the hosts, the FIVB World Cup champions and runners-up, five continental Olympic qualification tournament champions and four teams from two World Olympic qualification tournaments. Teams already qualified for the event were not eligible to play in the following qualification tournaments.",79
Volleyball at the 2016 Summer Olympics – Men's European qualification,Summary,"The European Qualification Tournament for the 2016 Men's Olympic Volleyball Tournament was held in Berlin, Germany from 5 to 10 January 2016. Russia won the tournament by beating France 3–1, and qualified for the Summer Olympics. Sergey Tetyukhin was selected the most valuable player.",62
Volleyball at the 2016 Summer Olympics – Men's European qualification,Qualification,"The hosts Germany and the top seven ranked teams from the CEV European Ranking as of 19 October 2015 which had not yet qualified to the 2016 Summer Olympics qualified for the tournament. Rankings are shown in brackets except the hosts who ranked 4th.

 Germany (Hosts)
 Russia (1)
 Bulgaria (3)
 Poland (4)
 Serbia (6)
 France (7)
 Finland (8)
 Belgium (9)",92
Volleyball at the 2016 Summer Olympics – Women's European qualification,Summary,"The European qualification for the 2016 Women's Olympic Volleyball Tournament was held from 4 to 9 January 2016 in Ankara, Turkey. Russia won the tournament by beating Netherlands 3–1, and qualified for the Olympic games. Nataliya Obmochaeva was selected the most valuable player.",63
Volleyball at the 2016 Summer Olympics – Women's European qualification,Qualification,"The host country played with the 7 highest CEV ranking teams which had not yet qualified to the Olympic games. Numbers in brackets denoted the European ranking as of 5 October 2015 except the host which ranked 4th.

 Turkey (host)
 Russia (1)
 Italy (2)
 Germany (5)
 Netherlands (6)
 Belgium (7)
 Poland (8)
 Croatia (9)",86
Rugby sevens at the 2016 Summer Olympics,Summary,"Rugby sevens at the 2016 Summer Olympics was held over six days in August 2016 in Rio de Janeiro. The 2016 Olympics was the debut for rugby sevens at the Summer Olympics, though rugby union was last played at the 1924 games.
The usual laws of rugby sevens applied.",63
Rugby sevens at the 2016 Summer Olympics,Changes,"Though rugby has not been featured in the Olympics since the 1924 Summer Olympics in any form, the IOC chose to re-introduce the seven-a-side version of the sport for the games. The sport featured for the 2016 and the 2020 Summer Olympics.",55
2016 men's rugby sevens final Olympic qualification tournament,Summary,"The final 2016 men's Olympic qualification tournament for rugby sevens at the 2016 Summer Olympics was held on 18 and 19 June 2016 at Stade Louis II in Fontvieille, Monaco.
The tournament used a round-robin format. 
The qualification tournament was won by Spain; as a result, they qualified for the 2016 Olympics.",74
Rugby sevens at the 2016 Summer Olympics – Men's tournament,Summary,"The men's rugby sevens tournament at the 2016 Summer Olympics was held in Brazil. It was hosted at the Deodoro Stadium, a temporary outdoor stadium constructed as part of the Deodoro Modern Pentathlon Park in Rio de Janeiro. The tournament was held from 9 August to 11 August 2016, starting with group matches before finishing with the medal ceremony on 11 August. The 2016 Games marked the first time that rugby sevens has been played at the Olympics, and the first time since 1924 that any form of rugby had been played at the Olympics.
The gold medal for Fiji represented the first Olympic medal earned by Fiji at any Olympics. Great Britain won silver and South Africa defeated Japan to win the bronze medal.",147
Rugby sevens at the 2016 Summer Olympics – Men's tournament,Qualification,"With Brazil being the hosts, their team automatically qualified despite their sevens team not regularly appearing in the World Rugby Sevens Series. The 2014–15 Sevens World Series was the initial stage of qualification, with the top 4 teams at the end of the series gaining qualification to the 2016 Olympic Games. Between June and September 2015, each of the six regional rugby unions held an Olympic qualification event, where one team from each region qualified, bringing the total up to 11 teams qualified. The final spot was determined by a repechage tournament held in Monaco, where the winner of that event became the final team to qualify for the 2016 Olympic Games.
As a result of England finishing fourth in the 2014–15 Sevens World Series, Great Britain were awarded a spot in the Olympic Games, despite the other nations failing to qualify in the top 4. This is because Great Britain compete as one union in the Olympics and as several in international rugby (Rugby Football Union for England, Welsh Rugby Union, Scottish Rugby Union and the combined Irish Rugby Football Union for Northern Ireland and the Republic of Ireland), which meant should one of either the England, Wales or Scotland teams qualify, then Great Britain would be awarded a spot in the Olympic Games. It was decided players based in Northern Ireland were not eligible to represent Great Britain in the rugby sevens tournament as these players represent the IRFU, and the union demanded that Northern Irish players that have committed to play for the Irish rugby union, only play for Ireland despite being eligible under IOC rules to compete for Great Britain. The three remaining unions agreed in advance of the 2013–14 Sevens World Series that their highest-finishing teams in that season would represent all three unions in the first stage of qualification.",353
Rugby sevens at the 2016 Summer Olympics – Women's tournament,Summary,"The women's rugby sevens tournament at the 2016 Summer Olympics was held in Brazil, hosted at the Deodoro Stadium, a temporary outdoor stadium constructed as part of the Deodoro Modern Pentathlon Park in Rio de Janeiro. The tournament was held from 6 August to 8 August 2016, starting with group matches before finishing with the medal ceremony on 8 August.
Australia beat New Zealand 24–17 in the final. Canada secured the bronze medal with a win over Great Britain.",100
Rugby sevens at the 2016 Summer Olympics – Women's tournament,Qualification,"With Brazil being the hosts, their team automatically qualified despite their sevens team not regularly appearing in the top 6 on the World Rugby Women's Sevens Series. The 2014–15 World Rugby Women's Sevens Series was the initial stage of qualification, where the top 4 teams at the end of the series gaining qualification to the 2016 Olympic Games. Between June and September 2015, each of the six regional rugby unions held an Olympic qualification event, where one team from each region qualified, bring the total up to 11 team qualified. The final spot was determined by a repechage tournament held in Monaco, where the winner of that event became the final team to qualify for the 2016 Olympic Games.
As a result of England finishing fourth in the 2014–15 Sevens World Series, Great Britain were awarded a spot in the Olympic games, despite the other nations failing to qualify in the top 4. This is because Great Britain compete as one union in the Olympics and as several in international rugby (England, Wales, Scotland and a combined union from Northern Ireland and Republic of Ireland), which meant should one of either the England, Wales or Scotland teams qualify, then Great Britain would be awarded a spot in the Olympic Games. It was decided players based in Northern Ireland were not eligible to represent Great Britain in the rugby sevens tournament as these players represent the IRFU, and the union demanded that Northern Irish players, that have committed to play for the Irish rugby union, only play for Ireland despite being eligible under IOC rules to compete for Great Britain. The three remaining unions agreed in advance of the 2013–14 Sevens World Series that their highest-finishing teams in that season would represent all three unions in the first stage of qualification.",349
List of taekwondo practitioners at the 2016 Summer Olympics,Summary,"This is a list of the taekwondo practitioners who will be participating for their country at the 2016 Summer Olympics in Rio de Janeiro, Brazil from  August 5–21, 2016. 128 competitors are set to participate at the Games across eight events.",55
Taekwondo at the 2016 Summer Olympics – Women's 49 kg,Summary,"The women's 49 kg competition at the 2016 Summer Olympics was held on 17 August, at the Carioca Arena 3. Chinese defending champion Wu Jingyu lost to the silver medalist Tijana Bogdanović in the quarterfinal, unable to win her third Olympic gold. Instead, South Korea's Kim So-hui finished first, beating Panipak Wongpattanakit from Thailand in the process. Wongpattanakit eventually grabbed a bronze medal in the repechage.",107
Taekwondo at the 2016 Summer Olympics – Women's 49 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Taekwondo at the 2016 Summer Olympics – Women's 67 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Taekwondo at the 2016 Summer Olympics – Men's 80 kg,Summary,"The men's 80 kg Taekwondo competition at the 2016 Summer Olympics was held on 19 August, at the Carioca Arena 3. This event featured five-time Olympian and three-time Olympic medalist Steven López, representing the United States. López has competed in every Olympic game since 2000.",70
Taekwondo at the 2016 Summer Olympics – Men's 80 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Taekwondo at the 2016 Summer Olympics – Men's 58 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Taekwondo at the 2016 Summer Olympics – Women's 57 kg,Summary,"The women's 57 kg competition at the 2016 Summer Olympics was held on 18 August, at the Carioca Arena 3. The defending champion, Jade Jones, representing Great Britain, successfully defended her title, winning her second Olympics gold. Eva Calvo from Spain finished with a silver medal, beating second-time Olympian Hedaya Malak in the semifinal and Iran's Kimia Alizadeh in the quarterfinal, both of whom went on to win a bronze in the repechage.",105
Taekwondo at the 2016 Summer Olympics – Women's 57 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Taekwondo at the 2016 Summer Olympics – Men's 68 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Taekwondo at the 2016 Summer Olympics – Men's +80 kg,Summary,"The men's +80 kg competition at the 2016 Summer Olympics was held on 20 August, at the Carioca Arena 3.
The medals for the competition were presented by Nicole Hoevertsz, Aruba, IOC member and the gifts were presented by Dr. Choue Chungwon, President of the World Taekwondo Federation.",73
Taekwondo at the 2016 Summer Olympics – Men's +80 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly on 15 August 2016. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",132
Beach volleyball at the Summer Olympics,Summary,"Beach volleyball was introduced at the Summer Olympic Games in the 1992 Games as a demonstration event, and has been an official Olympic sport since  1996. The United States is the only country to win medals in every edition.
Winning the Olympics is considered to be the highest honor in international beach volleyball, followed by the World Championships, and the World Tour of the International Volleyball Federation (FIVB) for men and women.",92
Volleyball at the 2016 Summer Olympics,Summary,"The volleyball tournaments at the 2016 Summer Olympics in Rio de Janeiro was played between 6 and 21 August. 24 volleyball teams and 48 beach volleyball teams, total 386 athletes, participated in the tournament. The indoor volleyball competition took place at Ginásio do Maracanãzinho in Maracanã, and the beach volleyball tournament was held at Copacabana Beach, in the temporary Copacabana Stadium.",86
Handball at the 2016 Summer Olympics – Men's team rosters,Summary,"This article shows the rosters of all participating teams at the men's handball tournament at the 2016 Summer Olympics in Rio de Janeiro.
Age, caps and goals as of the start of the tournament, 7 August 2016.",48
Handball at the 2016 Summer Olympics – Men's tournament,Summary,"The men's tournament of Handball at the 2016 Summer Olympics at Rio de Janeiro, Brazil, began on 7 August and ended on 21 August 2016. Games were held at the Future Arena.
Denmark won their first gold medal, defeating defending champion France 28–26 in the final. Germany won the bronze medal by defeating Poland 31–25.
The medals were presented by Gunilla Lindberg, Yumilka Ruiz and Tony Estanguet, IOC members from Sweden, Cuba and France respectively and by Hassan Moustafa, Miguel Roca Mas and Per Bertelsen, President, 1st Vice President and Caretaker Chairman of the Commission of Organizing and Competition of the IHF respectively.",146
Football at the 2016 Summer Olympics – Women's team squads,Summary,"The women's football tournament at the 2016 Summer Olympics in Rio de Janeiro was held from 3 to 19 August 2016. The women's tournament was a full international tournament with no restrictions on age. The twelve national teams involved in the tournament were required to register a squad of 18 players, including two goalkeepers. Additionally, teams could name a maximum of four alternate players, numbered from 19 to 22. The alternate list could contain at most three outfielders, as at least one slot was reserved for a goalkeeper. In the event of serious injury during the tournament, an injured player could be replaced by one of the players in the alternate list. Only players in these squads were eligible to take part in the tournament.
The age listed for each player is on 3 August 2016, the first day of the tournament. The numbers of caps and goals listed for each player do not include any matches played after the start of the tournament. The club listed is the club for which the player last played a competitive match prior to the tournament. A flag is included for coaches who are of a different nationality than their own national team.",226
Football at the 2016 Summer Olympics – Women's tournament – Knockout stage,Summary,"The knockout stage of the women's football tournament at the 2016 Summer Olympics was played from 12 to 19 August 2016. The top two teams from each group in the group stage and the two best third-placed teams qualified for the knockout stage.
All times are local, BRT (UTC−3).",65
